nid,title,type,view_node,resolved_url,redirects,meta_tags,Generator,HandheldFriendly,MobileOptimized,description,generator,keywords,og:description,og:image,og:image:secure_url,og:image:url,og:site_name,og:title,og:type,og:updated_time,og:url,robots,twitter:card,twitter:creator,twitter:description,twitter:image,twitter:image:alt,twitter:title,viewport
153088,Su compañero de cuidado para la diálisis en casa,Kidney Topics,https://www.kidney.org/es/kidney-topics/su-companero-de-cuidado-para-la-dialisis-en-casa,https://www.kidney.org/es/kidney-topics/su-companero-de-cuidado-para-la-dialisis-en-casa,,,Drupal 10 (https://www.drupal.org),true,width,"Como compañero de cuidados, puedes ayudar de muchas maneras, como organizar el espacio para el tratamiento, controlar los efectos secundarios y brindar apoyo. Las necesidades de cada persona son diferentes, por lo que tu papel puede variar.",Drupal 10 (https://www.drupal.org),,"Como compañero de cuidados, puedes ayudar de muchas maneras, como organizar el espacio para el tratamiento, controlar los efectos secundarios y brindar apoyo. Las necesidades de cada persona son diferentes, por lo que tu papel puede variar.",https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,National Kidney Foundation,Su compañero de cuidado para la diálisis en casa,article,2025-04-16T09:57:48-04:00,https://www.kidney.org/es/kidney-topics/su-companero-de-cuidado-para-la-dialisis-en-casa,,,@NKF,"Como compañero de cuidados, puedes ayudar de muchas maneras, como organizar el espacio para el tratamiento, controlar los efectos secundarios y brindar apoyo. Las necesidades de cada persona son diferentes, por lo que tu papel puede variar.",https://www.kidney.org/sites/default/files/nkf_metatag_logo_v1-01.jpg,National Kidney Foundation (NKF),Su compañero de cuidado para la diálisis en casa,"width=device-width, initial-scale=1.0"
153087,Nutrición y diálisis en casa,Kidney Topics,https://www.kidney.org/es/kidney-topics/nutricion-y-dialisis-en-casa,https://www.kidney.org/es/kidney-topics/nutricion-y-dialisis-en-casa,,,Drupal 10 (https://www.drupal.org),true,width,"Aprenda sobre la nutrición y la diálisis en casa, incluyendo qué nutrientes, vitaminas y minerales debe consumir o limitar, así como los alimentos que los contienen.",Drupal 10 (https://www.drupal.org),,"Aprenda sobre la nutrición y la diálisis en casa, incluyendo qué nutrientes, vitaminas y minerales debe consumir o limitar, así como los alimentos que los contienen.",https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,National Kidney Foundation,Nutrición y diálisis en casa,article,2025-04-13T21:09:37-04:00,https://www.kidney.org/es/kidney-topics/nutricion-y-dialisis-en-casa,,,@NKF,"Aprenda sobre la nutrición y la diálisis en casa, incluyendo qué nutrientes, vitaminas y minerales debe consumir o limitar, así como los alimentos que los contienen.",https://www.kidney.org/sites/default/files/nkf_metatag_logo_v1-01.jpg,National Kidney Foundation (NKF),Nutrición y diálisis en casa,"width=device-width, initial-scale=1.0"
25608,Diálisis Peritoneal,Kidney Topics,https://www.kidney.org/es/kidney-topics/dialisis-peritoneal,https://www.kidney.org/es/kidney-topics/dialisis-peritoneal,,,Drupal 10 (https://www.drupal.org),true,width,"In peritoneal dialysis, a soft plastic tube (catheter) is placed in your belly by surgery. A sterile cleansing fluid is put into your belly through this catheter. After the filtering process is finished, the fluid leaves your body through the catheter.",Drupal 10 (https://www.drupal.org),"peritoneal dialysis, dialysis, dialysate, catheter, fluid","La diálisis peritoneal utiliza el revestimiento de su abdomen para filtrar la sangre cuando los riñones fallan. Conozca el proceso, los tipos, los beneficios y desventajas, y las opciones de pago.",https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,National Kidney Foundation,Diálisis Peritoneal,article,2025-04-20T00:00:09-04:00,https://www.kidney.org/es/kidney-topics/dialisis-peritoneal,,,@NKF,"La diálisis peritoneal utiliza el revestimiento de su abdomen para filtrar la sangre cuando los riñones fallan. Conozca el proceso, los tipos, los beneficios y desventajas, y las opciones de pago.",https://www.kidney.org/sites/default/files/nkf_metatag_logo_v1-01.jpg,National Kidney Foundation (NKF),Diálisis Peritoneal,"width=device-width, initial-scale=1.0"
153062,Diálisis en casa,Kidney Topics,https://www.kidney.org/es/kidney-topics/dialisis-en-casa,https://www.kidney.org/es/kidney-topics/dialisis-en-casa,,,Drupal 10 (https://www.drupal.org),true,width,"Infórmate sobre la diálisis en casa, los diferentes tipos de tratamiento, los posibles beneficios y desventajas de la diálisis en casa, y cómo decidir si es la opción adecuada para ti.",Drupal 10 (https://www.drupal.org),,"Infórmate sobre la diálisis en casa, los diferentes tipos de tratamiento, los posibles beneficios y desventajas de la diálisis en casa, y cómo decidir si es la opción adecuada para ti.",https://www.kidney.org/sites/default/files/styles/large/public/2025-04/untitled-design-2025-04-02t101235.911.png?itok=hyPE6RJo,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/styles/large/public/2025-04/untitled-design-2025-04-02t101235.911.png?itok=hyPE6RJo,National Kidney Foundation,Diálisis en casa,article,2025-04-02T13:13:52-04:00,https://www.kidney.org/es/kidney-topics/dialisis-en-casa,,summary_large_image,@NKF,"Infórmate sobre la diálisis en casa, los diferentes tipos de tratamiento, los posibles beneficios y desventajas de la diálisis en casa, y cómo decidir si es la opción adecuada para ti.",https://www.kidney.org/sites/default/files/styles/large/public/2025-04/untitled-design-2025-04-02t101235.911.png?itok=hyPE6RJo,National Kidney Foundation (NKF),Diálisis en casa,"width=device-width, initial-scale=1.0"
152153,Convertirse en un donante vivo,Kidney Topics,https://www.kidney.org/es/kidney-topics/convertirse-en-un-donante-vivo,https://www.kidney.org/es/kidney-topics/convertirse-en-un-donante-vivo,,,Drupal 10 (https://www.drupal.org),true,width,,Drupal 10 (https://www.drupal.org),,,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,National Kidney Foundation,Convertirse en un donante vivo,article,2025-04-15T04:26:45-04:00,https://www.kidney.org/es/kidney-topics/convertirse-en-un-donante-vivo,,,@NKF,,https://www.kidney.org/sites/default/files/nkf_metatag_logo_v1-01.jpg,National Kidney Foundation (NKF),Convertirse en un donante vivo,"width=device-width, initial-scale=1.0"
152154,Recibir un trasplante de riñón de un donante vivo,Kidney Topics,https://www.kidney.org/es/kidney-topics/recibir-un-trasplante-de-rinon-de-un-donante-vivo,https://www.kidney.org/es/kidney-topics/recibir-un-trasplante-de-rinon-de-un-donante-vivo,,,Drupal 10 (https://www.drupal.org),true,width,,Drupal 10 (https://www.drupal.org),,,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,National Kidney Foundation,Recibir un trasplante de riñón de un donante vivo,article,2025-04-11T00:56:13-04:00,https://www.kidney.org/es/kidney-topics/recibir-un-trasplante-de-rinon-de-un-donante-vivo,,,@NKF,,https://www.kidney.org/sites/default/files/nkf_metatag_logo_v1-01.jpg,National Kidney Foundation (NKF),Recibir un trasplante de riñón de un donante vivo,"width=device-width, initial-scale=1.0"
151704,Açaí,Kidney Topics,https://www.kidney.org/es/kidney-topics/acai,https://www.kidney.org/es/kidney-topics/acai,,,Drupal 10 (https://www.drupal.org),true,width,,Drupal 10 (https://www.drupal.org),,,https://www.kidney.org/sites/default/files/untitled_design_35.png,https://www.kidney.org/sites/default/files/untitled_design_35.png,https://www.kidney.org/sites/default/files/untitled_design_35.png,National Kidney Foundation,Açaí,article,2025-02-24T19:13:27-05:00,https://www.kidney.org/es/kidney-topics/acai,,photo,@NKF,,https://www.kidney.org/sites/default/files/untitled_design_35.png,National Kidney Foundation (NKF),Açaí,"width=device-width, initial-scale=1.0"
45051,Hiperoxaluria primaria tipo 1,Kidney Topics,https://www.kidney.org/es/kidney-topics/hiperoxaluria-primaria-tipo-1,https://www.kidney.org/es/kidney-topics/hiperoxaluria-primaria-tipo-1,,,Drupal 10 (https://www.drupal.org),true,width,,Drupal 10 (https://www.drupal.org),,,https://www.kidney.org/sites/default/files/primary_hyperoxaluria_type_1.jpg,https://www.kidney.org/sites/default/files/primary_hyperoxaluria_type_1.jpg,https://www.kidney.org/sites/default/files/primary_hyperoxaluria_type_1.jpg,National Kidney Foundation,Hiperoxaluria primaria tipo 1,article,2024-08-22T08:59:54-04:00,https://www.kidney.org/es/kidney-topics/hiperoxaluria-primaria-tipo-1,,photo,@NKF,,https://www.kidney.org/sites/default/files/primary_hyperoxaluria_type_1.jpg,National Kidney Foundation (NKF),Hiperoxaluria primaria tipo 1,"width=device-width, initial-scale=1.0"
152003,La Hidratación Saludable y los Riñones,Kidney Topics,https://www.kidney.org/es/kidney-topics/la-hidratacion-saludable-y-los-rinones,https://www.kidney.org/es/kidney-topics/la-hidratacion-saludable-y-los-rinones,,,Drupal 10 (https://www.drupal.org),true,width,,Drupal 10 (https://www.drupal.org),,,https://www.kidney.org/sites/default/files/hydration.jpg,https://www.kidney.org/sites/default/files/hydration.jpg,https://www.kidney.org/sites/default/files/hydration.jpg,National Kidney Foundation,La Hidratación Saludable y los Riñones,article,2025-04-22T15:38:53-04:00,https://www.kidney.org/es/kidney-topics/la-hidratacion-saludable-y-los-rinones,,,@NKF,,https://www.kidney.org/sites/default/files/hydration.jpg,National Kidney Foundation (NKF),La Hidratación Saludable y los Riñones,"width=device-width, initial-scale=1.0"
151701,Mariscos,Kidney Topics,https://www.kidney.org/es/kidney-topics/mariscos,https://www.kidney.org/es/kidney-topics/mariscos,,,Drupal 10 (https://www.drupal.org),true,width,,Drupal 10 (https://www.drupal.org),,,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,https://www.kidney.org/sites/default/files/nkf_metatag_logo_fb_v1-01.jpg,National Kidney Foundation,Mariscos,article,2025-04-17T21:28:40-04:00,https://www.kidney.org/es/kidney-topics/mariscos,,,@NKF,,https://www.kidney.org/sites/default/files/nkf_metatag_logo_v1-01.jpg,National Kidney Foundation (NKF),Mariscos,"width=device-width, initial-scale=1.0"
